epoch,accuracy,loss,val_accuracy,val_loss
0,0.35621365904808044,1.3395622968673706,0.3890489935874939,1.3052018880844116
1,0.6147245764732361,1.031595230102539,0.6253602504730225,0.9770002365112305
2,0.7896484732627869,0.6018409729003906,0.6858789920806885,0.8116492629051208
3,0.8497093915939331,0.416653573513031,0.7002881765365601,0.7975773215293884
4,0.8826460242271423,0.32292625308036804,0.6829971075057983,0.8663324117660522
5,0.9128148555755615,0.2599928677082062,0.6714697480201721,0.8883944749832153
6,0.9296982884407043,0.21586774289608002,0.680115282535553,0.9300585389137268
7,0.9432604312896729,0.17631222307682037,0.6657060384750366,0.999893307685852
8,0.9523941278457642,0.148573637008667,0.6772334575653076,1.0405889749526978
9,0.9620813727378845,0.1281617432832718,0.6916426420211792,1.1016203165054321
10,0.9662330746650696,0.11824852228164673,0.6685879230499268,1.1530810594558716
11,0.9659562706947327,0.10676576942205429,0.6743515729904175,1.168287754058838
12,0.9706615209579468,0.09796728193759918,0.6829971075057983,1.2269744873046875
13,0.9723221659660339,0.08522076159715652,0.6743515729904175,1.280011534690857
14,0.9767506122589111,0.08196771144866943,0.6772334575653076,1.317237138748169
15,0.9748131632804871,0.08058479428291321,0.680115282535553,1.2892893552780151
16,0.976473867893219,0.07450368255376816,0.6772334575653076,1.3866890668869019
17,0.9761970639228821,0.07450596243143082,0.6714697480201721,1.4348654747009277
18,0.9778577089309692,0.07245241850614548,0.6974063515663147,1.4092124700546265
19,0.9753667116165161,0.07149428874254227,0.680115282535553,1.4093800783157349
20,0.975643515586853,0.06367506831884384,0.680115282535553,1.4373136758804321
21,0.9767506122589111,0.06519582867622375,0.6916426420211792,1.4379318952560425
22,0.9773041605949402,0.061601534485816956,0.680115282535553,1.5154024362564087
23,0.976473867893219,0.06666573882102966,0.680115282535553,1.5143399238586426
24,0.9789648652076721,0.06003936380147934,0.680115282535553,1.4485052824020386
